Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Madrid, Comunidad de;Other causes;July;Men;Not specified;58
Madrid, Comunidad de;Other causes;July;Women;Total;1.926
Madrid, Comunidad de;Other causes;July;Women;Hospital centre;1.283
Madrid, Comunidad de;Other causes;July;Women;Home;304
Madrid, Comunidad de;Other causes;July;Women;Health care home;250
Madrid, Comunidad de;Other causes;July;Women;Other place;15
Madrid, Comunidad de;Other causes;July;Women;Not specified;74
Madrid, Comunidad de;Other causes;August;Total;Total;3.474
Madrid, Comunidad de;Other causes;August;Total;Hospital centre;2.391
Madrid, Comunidad de;Other causes;August;Total;Home;522
Madrid, Comunidad de;Other causes;August;Total;Health care home;334
Madrid, Comunidad de;Other causes;August;Total;Other place;60
Madrid, Comunidad de;Other causes;August;Total;Not specified;167
Madrid, Comunidad de;Other causes;August;Men;Total;1.654
Madrid, Comunidad de;Other causes;August;Men;Hospital centre;1.172
Madrid, Comunidad de;Other causes;August;Men;Home;257
Madrid, Comunidad de;Other causes;August;Men;Health care home;103
Madrid, Comunidad de;Other causes;August;Men;Other place;39
Madrid, Comunidad de;Other causes;August;Men;Not specified;83
Madrid, Comunidad de;Other causes;August;Women;Total;1.820
Madrid, Comunidad de;Other causes;August;Women;Hospital centre;1.219
Madrid, Comunidad de;Other causes;August;Women;Home;265
Madrid, Comunidad de;Other causes;August;Women;Health care home;231
Madrid, Comunidad de;Other causes;August;Women;Other place;21
Madrid, Comunidad de;Other causes;August;Women;Not specified;84
Madrid, Comunidad de;Other causes;September;Total;Total;3.215
Madrid, Comunidad de;Other causes;September;Total;Hospital centre;2.197
Madrid, Comunidad de;Other causes;September;Total;Home;542
Madrid, Comunidad de;Other causes;September;Total;Health care home;254
Madrid, Comunidad de;Other causes;September;Total;Other place;66
Madrid, Comunidad de;Other causes;September;Total;Not specified;156
Madrid, Comunidad de;Other causes;September;Men;Total;1.608
Madrid, Comunidad de;Other causes;September;Men;Hospital centre;1.131
Madrid, Comunidad de;Other causes;September;Men;Home;271
Madrid, Comunidad de;Other causes;September;Men;Health care home;69
Madrid, Comunidad de;Other causes;September;Men;Other place;48
Madrid, Comunidad de;Other causes;September;Men;Not specified;89
Madrid, Comunidad de;Other causes;September;Women;Total;1.607
Madrid, Comunidad de;Other causes;September;Women;Hospital centre;1.066
Madrid, Comunidad de;Other causes;September;Women;Home;271
Madrid, Comunidad de;Other causes;September;Women;Health care home;185
Madrid, Comunidad de;Other causes;September;Women;Other place;18
Madrid, Comunidad de;Other causes;September;Women;Not specified;67
Madrid, Comunidad de;Other causes;October;Total;Total;3.455
Madrid, Comunidad de;Other causes;October;Total;Hospital centre;2.345
Madrid, Comunidad de;Other causes;October;Total;Home;586
Madrid, Comunidad de;Other causes;October;Total;Health care home;313
Madrid, Comunidad de;Other causes;October;Total;Other place;43
Madrid, Comunidad de;Other causes;October;Total;Not specified;168
Madrid, Comunidad de;Other causes;October;Men;Total;1.704
Madrid, Comunidad de;Other causes;October;Men;Hospital centre;1.186
Madrid, Comunidad de;Other causes;October;Men;Home;307
Madrid, Comunidad de;Other causes;October;Men;Health care home;87
Madrid, Comunidad de;Other causes;October;Men;Other place;32
Madrid, Comunidad de;Other causes;October;Men;Not specified;92
Madrid, Comunidad de;Other causes;October;Women;Total;1.751
Madrid, Comunidad de;Other causes;October;Women;Hospital centre;1.159
Madrid, Comunidad de;Other causes;October;Women;Home;279
Madrid, Comunidad de;Other causes;October;Women;Health care home;226
Madrid, Comunidad de;Other causes;October;Women;Other place;11
Madrid, Comunidad de;Other causes;October;Women;Not specified;76
Madrid, Comunidad de;Other causes;November;Total;Total;3.280
Madrid, Comunidad de;Other causes;November;Total;Hospital centre;2.237
Madrid, Comunidad de;Other causes;November;Total;Home;482
Madrid, Comunidad de;Other causes;November;Total;Health care home;284
Madrid, Comunidad de;Other causes;November;Total;Other place;90
Madrid, Comunidad de;Other causes;November;Total;Not specified;187
Madrid, Comunidad de;Other causes;November;Men;Total;1.636
Madrid, Comunidad de;Other causes;November;Men;Hospital centre;1.132
Madrid, Comunidad de;Other causes;November;Men;Home;239
Madrid, Comunidad de;Other causes;November;Men;Health care home;93
Madrid, Comunidad de;Other causes;November;Men;Other place;68
Madrid, Comunidad de;Other causes;November;Men;Not specified;104
Madrid, Comunidad de;Other causes;November;Women;Total;1.644
Madrid, Comunidad de;Other causes;November;Women;Hospital centre;1.105
Madrid, Comunidad de;Other causes;November;Women;Home;243
Madrid, Comunidad de;Other causes;November;Women;Health care home;191
Madrid, Comunidad de;Other causes;November;Women;Other place;22
Madrid, Comunidad de;Other causes;November;Women;Not specified;83
Madrid, Comunidad de;Other causes;December;Total;Total;3.583
Madrid, Comunidad de;Other causes;December;Total;Hospital centre;2.530
Madrid, Comunidad de;Other causes;December;Total;Home;420
Madrid, Comunidad de;Other causes;December;Total;Health care home;294
Madrid, Comunidad de;Other causes;December;Total;Other place;153
Madrid, Comunidad de;Other causes;December;Total;Not specified;186
Madrid, Comunidad de;Other causes;December;Men;Total;1.768
Madrid, Comunidad de;Other causes;December;Men;Hospital centre;1.275
Madrid, Comunidad de;Other causes;December;Men;Home;190
Madrid, Comunidad de;Other causes;December;Men;Health care home;88
Madrid, Comunidad de;Other causes;December;Men;Other place;111
Madrid, Comunidad de;Other causes;December;Men;Not specified;104
Madrid, Comunidad de;Other causes;December;Women;Total;1.815
Madrid, Comunidad de;Other causes;December;Women;Hospital centre;1.255
Madrid, Comunidad de;Other causes;December;Women;Home;230
Madrid, Comunidad de;Other causes;December;Women;Health care home;206
Madrid, Comunidad de;Other causes;December;Women;Other place;42
Madrid, Comunidad de;Other causes;December;Women;Not specified;82
Murcia, Región de;Total;Total;Total;Total;12.362
Murcia, Región de;Total;Total;Total;Hospital centre;6.788
Murcia, Región de;Total;Total;Total;Home;4.244
Murcia, Región de;Total;Total;Total;Health care home;913
Murcia, Región de;Total;Total;Total;Other place;322
Murcia, Región de;Total;Total;Total;Not specified;95
Murcia, Región de;Total;Total;Men;Total;6.463
Murcia, Región de;Total;Total;Men;Hospital centre;3.712
Murcia, Región de;Total;Total;Men;Home;2.147
Murcia, Región de;Total;Total;Men;Health care home;297
Murcia, Región de;Total;Total;Men;Other place;260
Murcia, Región de;Total;Total;Men;Not specified;47
Murcia, Región de;Total;Total;Women;Total;5.899
Murcia, Región de;Total;Total;Women;Hospital centre;3.076
Murcia, Región de;Total;Total;Women;Home;2.097
Murcia, Región de;Total;Total;Women;Health care home;616
Murcia, Región de;Total;Total;Women;Other place;62
Murcia, Región de;Total;Total;Women;Not specified;48
Murcia, Región de;Total;January;Total;Total;1.213
Murcia, Región de;Total;January;Total;Hospital centre;698
Murcia, Región de;Total;January;Total;Home;418
Murcia, Región de;Total;January;Total;Health care home;63
Murcia, Región de;Total;January;Total;Other place;25
Murcia, Región de;Total;January;Total;Not specified;9
Murcia, Región de;Total;January;Men;Total;603
Murcia, Región de;Total;January;Men;Hospital centre;348
Murcia, Región de;Total;January;Men;Home;201
Murcia, Región de;Total;January;Men;Health care home;29
Murcia, Región de;Total;January;Men;Other place;22
Murcia, Región de;Total;January;Men;Not specified;3
Murcia, Región de;Total;January;Women;Total;610
Murcia, Región de;Total;January;Women;Hospital centre;350
Murcia, Región de;Total;January;Women;Home;217
Murcia, Región de;Total;January;Women;Health care home;34
Murcia, Región de;Total;January;Women;Other place;3
Murcia, Región de;Total;January;Women;Not specified;6
Murcia, Región de;Total;February;Total;Total;1.033
Murcia, Región de;Total;February;Total;Hospital centre;600
Murcia, Región de;Total;February;Total;Home;346
Murcia, Región de;Total;February;Total;Health care home;52
Murcia, Región de;Total;February;Total;Other place;24
Murcia, Región de;Total;February;Total;Not specified;11
Murcia, Región de;Total;February;Men;Total;566
Murcia, Región de;Total;February;Men;Hospital centre;335
Murcia, Región de;Total;February;Men;Home;192
Murcia, Región de;Total;February;Men;Health care home;14
Murcia, Región de;Total;February;Men;Other place;22
Murcia, Región de;Total;February;Men;Not specified;3
Murcia, Región de;Total;February;Women;Total;467
Murcia, Región de;Total;February;Women;Hospital centre;265
Murcia, Región de;Total;February;Women;Home;154
Murcia, Región de;Total;February;Women;Health care home;38
Murcia, Región de;Total;February;Women;Other place;2
Murcia, Región de;Total;February;Women;Not specified;8
Murcia, Región de;Total;March;Total;Total;1.072
Murcia, Región de;Total;March;Total;Hospital centre;549
Murcia, Región de;Total;March;Total;Home;393
Murcia, Región de;Total;March;Total;Health care home;97
Murcia, Región de;Total;March;Total;Other place;20
Murcia, Región de;Total;March;Total;Not specified;13
Murcia, Región de;Total;March;Men;Total;554
Murcia, Región de;Total;March;Men;Hospital centre;299
Murcia, Región de;Total;March;Men;Home;203
Murcia, Región de;Total;March;Men;Health care home;31
Murcia, Región de;Total;March;Men;Other place;16
Murcia, Región de;Total;March;Men;Not specified;5
Murcia, Región de;Total;March;Women;Total;518
Murcia, Región de;Total;March;Women;Hospital centre;250
Murcia, Región de;Total;March;Women;Home;190
Murcia, Región de;Total;March;Women;Health care home;66
Murcia, Región de;Total;March;Women;Other place;4
Murcia, Región de;Total;March;Women;Not specified;8
Murcia, Región de;Total;April;Total;Total;1.007
Murcia, Región de;Total;April;Total;Hospital centre;455
Murcia, Región de;Total;April;Total;Home;369
Murcia, Región de;Total;April;Total;Health care home;151
Murcia, Región de;Total;April;Total;Other place;28
Murcia, Región de;Total;April;Total;Not specified;4
Murcia, Región de;Total;April;Men;Total;516
Murcia, Región de;Total;April;Men;Hospital centre;264
Murcia, Región de;Total;April;Men;Home;181
Murcia, Región de;Total;April;Men;Health care home;45
Murcia, Región de;Total;April;Men;Other place;23
Murcia, Región de;Total;April;Men;Not specified;3
Murcia, Región de;Total;April;Women;Total;491
Murcia, Región de;Total;April;Women;Hospital centre;191
Murcia, Región de;Total;April;Women;Home;188
Murcia, Región de;Total;April;Women;Health care home;106
Murcia, Región de;Total;April;Women;Other place;5
Murcia, Región de;Total;April;Women;Not specified;1
Murcia, Región de;Total;May;Total;Total;928
Murcia, Región de;Total;May;Total;Hospital centre;486
Murcia, Región de;Total;May;Total;Home;330
Murcia, Región de;Total;May;Total;Health care home;69
Murcia, Región de;Total;May;Total;Other place;35
Murcia, Región de;Total;May;Total;Not specified;8
Murcia, Región de;Total;May;Men;Total;501
Murcia, Región de;Total;May;Men;Hospital centre;283
Murcia, Región de;Total;May;Men;Home;164
Murcia, Región de;Total;May;Men;Health care home;20
Murcia, Región de;Total;May;Men;Other place;28
Murcia, Región de;Total;May;Men;Not specified;6
Murcia, Región de;Total;May;Women;Total;427
Murcia, Región de;Total;May;Women;Hospital centre;203
Murcia, Región de;Total;May;Women;Home;166
Murcia, Región de;Total;May;Women;Health care home;49
Murcia, Región de;Total;May;Women;Other place;7
Murcia, Región de;Total;May;Women;Not specified;2
Murcia, Región de;Total;June;Total;Total;861
Murcia, Región de;Total;June;Total;Hospital centre;459
Murcia, Región de;Total;June;Total;Home;302
Murcia, Región de;Total;June;Total;Health care home;60
Murcia, Región de;Total;June;Total;Other place;26
Murcia, Región de;Total;June;Total;Not specified;14
Murcia, Región de;Total;June;Men;Total;440
Murcia, Región de;Total;June;Men;Hospital centre;238
Murcia, Región de;Total;June;Men;Home;153
Murcia, Región de;Total;June;Men;Health care home;24
Murcia, Región de;Total;June;Men;Other place;19
Murcia, Región de;Total;June;Men;Not specified;6
Murcia, Región de;Total;June;Women;Total;421
Murcia, Región de;Total;June;Women;Hospital centre;221
Murcia, Región de;Total;June;Women;Home;149
Murcia, Región de;Total;June;Women;Health care home;36
Murcia, Región de;Total;June;Women;Other place;7
Murcia, Región de;Total;June;Women;Not specified;8
Murcia, Región de;Total;July;Total;Total;950
Murcia, Región de;Total;July;Total;Hospital centre;513
Murcia, Región de;Total;July;Total;Home;345
Murcia, Región de;Total;July;Total;Health care home;52
Murcia, Región de;Total;July;Total;Other place;33
Murcia, Región de;Total;July;Total;Not specified;7
Murcia, Región de;Total;July;Men;Total;499
Murcia, Región de;Total;July;Men;Hospital centre;281
Murcia, Región de;Total;July;Men;Home;175
Murcia, Región de;Total;July;Men;Health care home;13
Murcia, Región de;Total;July;Men;Other place;26
Murcia, Región de;Total;July;Men;Not specified;4
Murcia, Región de;Total;July;Women;Total;451
Murcia, Región de;Total;July;Women;Hospital centre;232
Murcia, Región de;Total;July;Women;Home;170
Murcia, Región de;Total;July;Women;Health care home;39
Murcia, Región de;Total;July;Women;Other place;7
Murcia, Región de;Total;July;Women;Not specified;3
Murcia, Región de;Total;August;Total;Total;985
Murcia, Región de;Total;August;Total;Hospital centre;543
Murcia, Región de;Total;August;Total;Home;355
Murcia, Región de;Total;August;Total;Health care home;63
Murcia, Región de;Total;August;Total;Other place;22
Murcia, Región de;Total;August;Total;Not specified;2
Murcia, Región de;Total;August;Men;Total;503
Murcia, Región de;Total;August;Men;Hospital centre;283
Murcia, Región de;Total;August;Men;Home;179
Murcia, Región de;Total;August;Men;Health care home;25
Murcia, Región de;Total;August;Men;Other place;15
Murcia, Región de;Total;August;Men;Not specified;1
Murcia, Región de;Total;August;Women;Total;482
Murcia, Región de;Total;August;Women;Hospital centre;260
Murcia, Región de;Total;August;Women;Home;176
Murcia, Región de;Total;August;Women;Health care home;38
Murcia, Región de;Total;August;Women;Other place;7
Murcia, Región de;Total;August;Women;Not specified;1
Murcia, Región de;Total;September;Total;Total;1.002
Murcia, Región de;Total;September;Total;Hospital centre;566
Murcia, Región de;Total;September;Total;Home;332
Murcia, Región de;Total;September;Total;Health care home;75
Murcia, Región de;Total;September;Total;Other place;25
Murcia, Región de;Total;September;Total;Not specified;4
Murcia, Región de;Total;September;Men;Total;542
Murcia, Región de;Total;September;Men;Hospital centre;324
Murcia, Región de;Total;September;Men;Home;171
Murcia, Región de;Total;September;Men;Health care home;25
Murcia, Región de;Total;September;Men;Other place;20
Murcia, Región de;Total;September;Men;Not specified;2
Murcia, Región de;Total;September;Women;Total;460
Murcia, Región de;Total;September;Women;Hospital centre;242
Murcia, Región de;Total;September;Women;Home;161
Murcia, Región de;Total;September;Women;Health care home;50
Murcia, Región de;Total;September;Women;Other place;5
Murcia, Región de;Total;September;Women;Not specified;2
Murcia, Región de;Total;October;Total;Total;1.035
Murcia, Región de;Total;October;Total;Hospital centre;610
Murcia, Región de;Total;October;Total;Home;340
Murcia, Región de;Total;October;Total;Health care home;66
Murcia, Región de;Total;October;Total;Other place;16
Murcia, Región de;Total;October;Total;Not specified;3
Murcia, Región de;Total;October;Men;Total;571
Murcia, Región de;Total;October;Men;Hospital centre;345
Murcia, Región de;Total;October;Men;Home;185
Murcia, Región de;Total;October;Men;Health care home;24
Murcia, Región de;Total;October;Men;Other place;14
Murcia, Región de;Total;October;Men;Not specified;3
Murcia, Región de;Total;October;Women;Total;464
Murcia, Región de;Total;October;Women;Hospital centre;265
Murcia, Región de;Total;October;Women;Home;155
Murcia, Región de;Total;October;Women;Health care home;42
Murcia, Región de;Total;October;Women;Other place;2
Murcia, Región de;Total;October;Women;Not specified;..
Murcia, Región de;Total;November;Total;Total;1.138
Murcia, Región de;Total;November;Total;Hospital centre;653
Murcia, Región de;Total;November;Total;Home;365
Murcia, Región de;Total;November;Total;Health care home;96
Murcia, Región de;Total;November;Total;Other place;19
Murcia, Región de;Total;November;Total;Not specified;5
Murcia, Región de;Total;November;Men;Total;576
Murcia, Región de;Total;November;Men;Hospital centre;356
Murcia, Región de;Total;November;Men;Home;175
Murcia, Región de;Total;November;Men;Health care home;26
Murcia, Región de;Total;November;Men;Other place;16
Murcia, Región de;Total;November;Men;Not specified;3
Murcia, Región de;Total;November;Women;Total;562
Murcia, Región de;Total;November;Women;Hospital centre;297
Murcia, Región de;Total;November;Women;Home;190
Murcia, Región de;Total;November;Women;Health care home;70
Murcia, Región de;Total;November;Women;Other place;3
Murcia, Región de;Total;November;Women;Not specified;2
Murcia, Región de;Total;December;Total;Total;1.138
Murcia, Región de;Total;December;Total;Hospital centre;656
Murcia, Región de;Total;December;Total;Home;349
Murcia, Región de;Total;December;Total;Health care home;69
Murcia, Región de;Total;December;Total;Other place;49
Murcia, Región de;Total;December;Total;Not specified;15
Murcia, Región de;Total;December;Men;Total;592
Murcia, Región de;Total;December;Men;Hospital centre;356
Murcia, Región de;Total;December;Men;Home;168
Murcia, Región de;Total;December;Men;Health care home;21
Murcia, Región de;Total;December;Men;Other place;39
Murcia, Región de;Total;December;Men;Not specified;8
Murcia, Región de;Total;December;Women;Total;546
Murcia, Región de;Total;December;Women;Hospital centre;300
Murcia, Región de;Total;December;Women;Home;181
Murcia, Región de;Total;December;Women;Health care home;48
Murcia, Región de;Total;December;Women;Other place;10
Murcia, Región de;Total;December;Women;Not specified;7
Murcia, Región de;Identified Covid-19 virus;Total;Total;Total;738
Murcia, Región de;Identified Covid-19 virus;Total;Total;Hospital centre;582
Murcia, Región de;Identified Covid-19 virus;Total;Total;Home;50
Murcia, Región de;Identified Covid-19 virus;Total;Total;Health care home;103
Murcia, Región de;Identified Covid-19 virus;Total;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;Total;Total;Not specified;3
Murcia, Región de;Identified Covid-19 virus;Total;Men;Total;397
Murcia, Región de;Identified Covid-19 virus;Total;Men;Hospital centre;346
Murcia, Región de;Identified Covid-19 virus;Total;Men;Home;26
Murcia, Región de;Identified Covid-19 virus;Total;Men;Health care home;23
Murcia, Región de;Identified Covid-19 virus;Total;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;Total;Men;Not specified;2
Murcia, Región de;Identified Covid-19 virus;Total;Women;Total;341
Murcia, Región de;Identified Covid-19 virus;Total;Women;Hospital centre;236
Murcia, Región de;Identified Covid-19 virus;Total;Women;Home;24
Murcia, Región de;Identified Covid-19 virus;Total;Women;Health care home;80
Murcia, Región de;Identified Covid-19 virus;Total;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;Total;Women;Not specified;1
Murcia, Región de;Identified Covid-19 virus;January;Total;Total;..
Murcia, Región de;Identified Covid-19 virus;January;Total;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;January;Total;Home;..
Murcia, Región de;Identified Covid-19 virus;January;Total;Health care home;..
Murcia, Región de;Identified Covid-19 virus;January;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;January;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Total;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Home;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;January;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Total;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Home;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Health care home;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;January;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Total;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Home;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Health care home;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;February;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Total;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Home;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;February;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Total;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Home;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Health care home;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;February;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;March;Total;Total;47
Murcia, Región de;Identified Covid-19 virus;March;Total;Hospital centre;33
Murcia, Región de;Identified Covid-19 virus;March;Total;Home;2
Murcia, Región de;Identified Covid-19 virus;March;Total;Health care home;10
Murcia, Región de;Identified Covid-19 virus;March;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;March;Total;Not specified;2
Murcia, Región de;Identified Covid-19 virus;March;Men;Total;25
Murcia, Región de;Identified Covid-19 virus;March;Men;Hospital centre;22
Murcia, Región de;Identified Covid-19 virus;March;Men;Home;1
Murcia, Región de;Identified Covid-19 virus;March;Men;Health care home;1
Murcia, Región de;Identified Covid-19 virus;March;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;March;Men;Not specified;1
Murcia, Región de;Identified Covid-19 virus;March;Women;Total;22
Murcia, Región de;Identified Covid-19 virus;March;Women;Hospital centre;11
Murcia, Región de;Identified Covid-19 virus;March;Women;Home;1
Murcia, Región de;Identified Covid-19 virus;March;Women;Health care home;9
Murcia, Región de;Identified Covid-19 virus;March;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;March;Women;Not specified;1
Murcia, Región de;Identified Covid-19 virus;April;Total;Total;86
Murcia, Región de;Identified Covid-19 virus;April;Total;Hospital centre;47
Murcia, Región de;Identified Covid-19 virus;April;Total;Home;3
Murcia, Región de;Identified Covid-19 virus;April;Total;Health care home;36
Murcia, Región de;Identified Covid-19 virus;April;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;April;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;April;Men;Total;35
Murcia, Región de;Identified Covid-19 virus;April;Men;Hospital centre;27
Murcia, Región de;Identified Covid-19 virus;April;Men;Home;1
Murcia, Región de;Identified Covid-19 virus;April;Men;Health care home;7
Murcia, Región de;Identified Covid-19 virus;April;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;April;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;April;Women;Total;51
Murcia, Región de;Identified Covid-19 virus;April;Women;Hospital centre;20
Murcia, Región de;Identified Covid-19 virus;April;Women;Home;2
Murcia, Región de;Identified Covid-19 virus;April;Women;Health care home;29
Murcia, Región de;Identified Covid-19 virus;April;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;April;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;May;Total;Total;8
Murcia, Región de;Identified Covid-19 virus;May;Total;Hospital centre;6
Murcia, Región de;Identified Covid-19 virus;May;Total;Home;1
Murcia, Región de;Identified Covid-19 virus;May;Total;Health care home;1
Murcia, Región de;Identified Covid-19 virus;May;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;May;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;May;Men;Total;5
Murcia, Región de;Identified Covid-19 virus;May;Men;Hospital centre;4
Murcia, Región de;Identified Covid-19 virus;May;Men;Home;1
Murcia, Región de;Identified Covid-19 virus;May;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;May;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;May;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;May;Women;Total;3
Murcia, Región de;Identified Covid-19 virus;May;Women;Hospital centre;2
Murcia, Región de;Identified Covid-19 virus;May;Women;Home;..
Murcia, Región de;Identified Covid-19 virus;May;Women;Health care home;1
Murcia, Región de;Identified Covid-19 virus;May;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;May;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;June;Total;Total;3
Murcia, Región de;Identified Covid-19 virus;June;Total;Hospital centre;3
Murcia, Región de;Identified Covid-19 virus;June;Total;Home;..
Murcia, Región de;Identified Covid-19 virus;June;Total;Health care home;..
Murcia, Región de;Identified Covid-19 virus;June;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;June;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;June;Men;Total;2
Murcia, Región de;Identified Covid-19 virus;June;Men;Hospital centre;2
Murcia, Región de;Identified Covid-19 virus;June;Men;Home;..
Murcia, Región de;Identified Covid-19 virus;June;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;June;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;June;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;June;Women;Total;1
Murcia, Región de;Identified Covid-19 virus;June;Women;Hospital centre;1
Murcia, Región de;Identified Covid-19 virus;June;Women;Home;..
Murcia, Región de;Identified Covid-19 virus;June;Women;Health care home;..
Murcia, Región de;Identified Covid-19 virus;June;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;June;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;July;Total;Total;1
Murcia, Región de;Identified Covid-19 virus;July;Total;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;July;Total;Home;1
Murcia, Región de;Identified Covid-19 virus;July;Total;Health care home;..
Murcia, Región de;Identified Covid-19 virus;July;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;July;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Total;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Home;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;July;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;July;Women;Total;1
Murcia, Región de;Identified Covid-19 virus;July;Women;Hospital centre;..
Murcia, Región de;Identified Covid-19 virus;July;Women;Home;1
Murcia, Región de;Identified Covid-19 virus;July;Women;Health care home;..
Murcia, Región de;Identified Covid-19 virus;July;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;July;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;August;Total;Total;7
Murcia, Región de;Identified Covid-19 virus;August;Total;Hospital centre;7
Murcia, Región de;Identified Covid-19 virus;August;Total;Home;..
Murcia, Región de;Identified Covid-19 virus;August;Total;Health care home;..
Murcia, Región de;Identified Covid-19 virus;August;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;August;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;August;Men;Total;1
Murcia, Región de;Identified Covid-19 virus;August;Men;Hospital centre;1
Murcia, Región de;Identified Covid-19 virus;August;Men;Home;..
Murcia, Región de;Identified Covid-19 virus;August;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;August;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;August;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;August;Women;Total;6
Murcia, Región de;Identified Covid-19 virus;August;Women;Hospital centre;6
Murcia, Región de;Identified Covid-19 virus;August;Women;Home;..
Murcia, Región de;Identified Covid-19 virus;August;Women;Health care home;..
Murcia, Región de;Identified Covid-19 virus;August;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;August;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;September;Total;Total;67
Murcia, Región de;Identified Covid-19 virus;September;Total;Hospital centre;58
Murcia, Región de;Identified Covid-19 virus;September;Total;Home;5
Murcia, Región de;Identified Covid-19 virus;September;Total;Health care home;4
Murcia, Región de;Identified Covid-19 virus;September;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;September;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;September;Men;Total;34
Murcia, Región de;Identified Covid-19 virus;September;Men;Hospital centre;31
Murcia, Región de;Identified Covid-19 virus;September;Men;Home;3
